,timestamp,value,month,day,hour,minute,day_of_week,isWeekend,Holiday,prep,snow,snow_depth,min_temp,max_temp,isHoliday,TotalMinutes,Season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,value_lag_1,value_lag_2,value_lag_3
0,2014-07-01 00:00:00,10844.0,7,1,0,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,0,Summer,0.0,1.0,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0
1,2014-07-01 00:30:00,8127.0,7,1,0,30,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,30,Summer,0.0,1.0,0.7818314824680298,0.6234898018587336,10844.0,0.0,0.0
2,2014-07-01 01:00:00,6210.0,7,1,1,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,60,Summer,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,8127.0,10844.0,0.0
3,2014-07-01 01:30:00,4656.0,7,1,1,30,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,90,Summer,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,6210.0,8127.0,10844.0
4,2014-07-01 02:00:00,3820.0,7,1,2,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,120,Summer,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,4656.0,6210.0,8127.0
5,2014-07-01 02:30:00,2873.0,7,1,2,30,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,150,Summer,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,3820.0,4656.0,6210.0
6,2014-07-01 03:00:00,2369.0,7,1,3,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,180,Summer,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,2873.0,3820.0,4656.0
7,2014-07-01 03:30:00,2064.0,7,1,3,30,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,210,Summer,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,2369.0,2873.0,3820.0
8,2014-07-01 04:00:00,2221.0,7,1,4,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,240,Summer,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2064.0,2369.0,2873.0
9,2014-07-01 04:30:00,2158.0,7,1,4,30,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,270,Summer,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2221.0,2064.0,2369.0
10,2014-07-01 05:00:00,2515.0,7,1,5,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,300,Summer,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,2158.0,2221.0,2064.0
11,2014-07-01 05:30:00,4364.0,7,1,5,30,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,330,Summer,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,2515.0,2158.0,2221.0
12,2014-07-01 06:00:00,6526.0,7,1,6,0,Tuesday,False,No Public Holiday,0.0,0.0,0.0,72.0,89.0,False,360,Summer,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,4364.0,2515.0,2158.0
